#,latitude,longitude,d_centre,accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,minimum_nights,number_of_reviews,instant_bookable,room_type,review_avg,price
3732,52.35321885,4.889564975,2.962565538,2,1,1,31,1,34,2,0,Possible,Entire home/apt,0.727290458,79
3736,52.35278296,4.855390812,4.188160604,2,1,1,1,1,1,2,48,Not Possible,Entire home/apt,0.790277663,99
3740,52.39141255,4.873712244,2.210868998,2,1,1,1,1,1,2,11,Not Possible,Entire home/apt,0.780598376,90
3749,52.38465834,4.877463591,1.60924198,2,1,1,1,1,1,2,5,Not Possible,Entire home/apt,0.795024311,108
3751,52.37185509,4.898837966,0.815973576,2,1,1,2,1,2,2,8,Not Possible,Entire home/apt,0.705141167,200
3760,52.35242232,4.923375696,3.389280503,2,1,1,1,1,1,2,13,Not Possible,Private room,0.881863667,50
3766,52.34824838,4.863010318,4.234358435,2,1,1,1,1,1,2,5,Not Possible,Entire home/apt,0.814193485,85
3771,52.35710408,4.911731129,2.59221299,2,1,1,1,1,1,2,4,Not Possible,Entire home/apt,0.775013683,104
3773,52.39010317,4.877367639,1.926240058,2,1,1,1,1,1,2,4,Not Possible,Entire home/apt,0.788624687,120
3774,52.3823746,4.887123751,0.906779599,2,1,1,2,1,2,2,20,Not Possible,Private room,0.700046288,108
3775,52.3706714,4.904311369,1.002755477,2,1,1,1,1,1,2,4,Not Possible,Entire home/apt,0.786243503,120
3776,52.38408576,4.872564955,1.901849634,2,1,1,1,1,1,2,13,Not Possible,Entire home/apt,0.790248943,110
3784,52.35550432,4.924994484,3.152124715,2,1,1,2,1,2,2,17,Not Possible,Private room,0.81887647,60
3793,52.3624116,4.851094152,3.772430986,2,1,1,1,1,1,2,6,Not Possible,Entire home/apt,0.71965018,89
3797,52.3750765,4.900506697,0.462790886,2,1,1,1,1,1,2,23,Possible,Private room,0.783918173,135
3804,52.36538665,4.860531857,3.052445374,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,0.779179189,100
3812,52.3865754,4.891266733,0.990151418,2,1,1,1,1,1,2,17,Not Possible,Entire home/apt,0.779076654,125
3818,52.37233397,4.858181044,2.900214198,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,0.755163829,150
3819,52.38096057,4.876725951,1.552684028,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,0.775227585,130
3829,52.39803573,4.943270554,3.636781141,2,1,1,1,1,1,2,20,Not Possible,Entire home/apt,0.702492768,75
3835,52.35947519,4.935137335,3.26625797,2,1,1,1,1,1,2,4,Not Possible,Entire home/apt,0.711673627,65
3845,52.35710165,4.889140027,2.551848789,2,1,1,1,1,1,2,9,Not Possible,Entire home/apt,0.779825528,180
3846,52.34156059,4.909619309,4.238239477,2,1,1,1,1,1,2,6,Not Possible,Entire home/apt,0.712476568,105
3854,52.37125321,4.857966966,2.947936085,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,0.705115143,90
3866,52.36891907,4.876759509,1.915242471,2,1,1,15,1,16,2,0,Possible,Entire home/apt,0.792014578,79
3870,52.38198639,4.883188993,1.144748068,2,1,1,1,1,1,2,37,Not Possible,Entire home/apt,0.738331924,170
3879,52.35231976,4.847362431,4.625817927,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,0.730656909,150
3882,52.36241363,4.884379616,2.125547795,2,1,1,1,1,1,2,15,Not Possible,Entire home/apt,0.729228762,120
3883,52.37318317,4.86900108,2.169540578,2,1,1,1,1,1,2,15,Not Possible,Entire home/apt,0.73142744,250
3892,52.36659316,4.862920959,2.845115959,2,1,1,1,1,1,2,9,Not Possible,Entire home/apt,0.795272992,89
3895,52.37037706,4.860322963,2.828076753,2,1,1,1,1,2,2,0,Not Possible,Private room,0.898491348,60
3899,52.38286571,4.882533542,1.216826031,2,1,1,1,1,1,2,5,Not Possible,Entire home/apt,0.804219763,125
3908,52.3684079,4.884133705,1.585047651,2,1,1,1,1,1,2,109,Not Possible,Private room,0.818543674,110
3924,52.37204571,4.85130604,3.359909339,2,1,1,2,1,2,2,1,Not Possible,Entire home/apt,0.74376073,110
3925,52.38928014,4.886125816,1.439409539,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,0.808507172,88
3928,52.34946952,4.888679018,3.382211112,2,1,1,1,1,1,2,11,Not Possible,Entire home/apt,0.784253231,100
3929,52.36326067,4.908217999,1.867739677,2,1,1,2,1,4,2,0,Possible,Entire home/apt,0.705701316,145
3932,52.37201261,4.889088418,1.062199593,2,1,1,8,1,16,2,0,Not Possible,Private room,0.758851703,150
3933,52.38546692,4.866229557,2.357621904,2,1,1,2,1,2,2,6,Not Possible,Private room,0.878060176,75
3938,52.3544665,4.899775575,2.747390261,2,1,1,31,1,34,2,15,Possible,Entire home/apt,0.84229248,79
3955,52.37562218,4.856916259,2.911188361,2,1,1,1,1,1,2,44,Possible,Private room,0.745240487,55
3976,52.36772155,4.902781439,1.294434953,2,1,1,1,1,1,2,23,Not Possible,Entire home/apt,0.809627663,163
3982,52.34112101,4.908685843,4.276679339,2,1,1,1,1,1,2,1,Not Possible,Entire home/apt,0.707746004,100
3983,52.35123079,4.887975737,3.202621103,2,1,1,1,1,1,2,6,Not Possible,Entire home/apt,0.819972588,110
3987,52.42343234,4.885000011,5.012958024,2,1,1,3,1,3,2,9,Not Possible,Private room,0.880939168,60
3993,52.37774313,4.887626336,0.816735911,2,1,1,1,1,1,2,14,Possible,Private room,0.855603387,89
4005,52.37237831,4.857318374,2.95545559,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,0.801736981,79
4013,52.35297181,4.887279722,3.027815227,2,1,1,1,1,1,2,76,Not Possible,Entire home/apt,0.72387432,100
4017,52.34695499,4.901741898,3.585438423,2,1,1,1,1,2,2,1,Not Possible,Entire home/apt,0.756274969,130
4019,52.37596284,4.89127948,0.659020449,2,1,1,2,1,2,2,15,Not Possible,Private room,0.851602772,100
4022,52.35097617,4.847005489,4.741752218,2,1,1,1,1,1,2,12,Possible,Entire home/apt,0.769157187,125
4028,52.36903596,4.883605403,1.557458304,2,1,1,2,1,2,2,18,Not Possible,Private room,0.811647079,150
4040,52.36310556,4.863593877,3.017650847,2,1,1,1,1,1,2,9,Not Possible,Entire home/apt,0.718558868,100
4055,52.35577825,4.937259828,3.654622128,2,1,1,1,1,1,2,0,Not Possible,Private room,0.751924896,65
4058,52.36323434,4.931518806,2.807659403,2,1,1,1,1,1,2,2,Possible,Entire home/apt,0.729015219,103
4061,52.35120766,4.912713362,3.237416816,2,1,1,2,1,2,2,24,Not Possible,Entire home/apt,0.865649452,74
4082,52.34986172,4.846959922,4.826843082,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,0.708246204,89
4085,52.3628738,4.910151985,1.953499939,2,1,1,1,1,1,2,102,Not Possible,Entire home/apt,0.730524025,150
4094,52.35374682,4.903975809,2.844033573,2,1,1,1,1,1,2,25,Not Possible,Entire home/apt,0.79487532,72
4107,52.35869866,4.907477166,2.34152376,2,1,1,1,1,1,2,23,Not Possible,Private room,0.762507635,126
4118,52.36240112,4.865089157,2.984829395,2,1,1,42,1,43,2,1,Possible,Entire home/apt,0.735049035,120
4122,52.36328295,4.907867893,1.857938116,2,1,1,1,1,1,2,43,Not Possible,Entire home/apt,0.8595309,85
4123,52.38403712,4.873519348,1.838321721,2,1,1,2,1,2,2,1,Not Possible,Entire home/apt,0.789433855,100
4128,52.36513512,4.877004045,2.180407577,2,1,1,1,1,1,2,15,Not Possible,Entire home/apt,0.799726113,141
4143,52.36073023,4.868944872,2.913074546,2,1,1,1,1,1,2,7,Not Possible,Entire home/apt,0.743894331,125
4148,52.3496974,4.847799624,4.797426711,2,1,1,1,1,0,2,0,Not Possible,Private room,0.815273965,60
4155,52.37755745,4.872682718,1.823523498,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,0.793959953,109
4162,52.35170227,4.860934691,4.019115447,2,1,1,1,1,1,2,8,Not Possible,Entire home/apt,0.717516356,150
4163,52.3446702,4.903411475,3.845404163,2,1,1,2,1,3,2,244,Not Possible,Private room,0.83629173,98
4187,52.39703576,4.914725971,2.238123823,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,0.810709485,95
4190,52.36526199,4.860424031,3.065745696,2,1,1,1,1,1,2,13,Not Possible,Entire home/apt,0.749359915,138
4194,52.3671248,4.852927376,3.428000333,2,1,1,1,1,1,2,53,Not Possible,Entire home/apt,0.742405098,97
4208,52.37006002,4.916971594,1.563706339,2,1,1,1,1,1,2,14,Not Possible,Entire home/apt,0.777035673,130
4210,52.35867977,4.921122047,2.712983032,2,1,1,1,1,1,2,14,Not Possible,Entire home/apt,0.701426908,85
4215,52.35509479,4.884251825,2.868737724,2,1,1,1,1,1,2,46,Not Possible,Entire home/apt,0.70499538,155
4223,52.36452366,4.938845572,3.131571114,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,0.765579747,80
4237,52.35355857,4.81109773,6.636074916,2,1,1,1,1,1,2,35,Not Possible,Private room,0.945564188,43
4240,52.35365298,4.855441558,4.118482315,2,1,1,1,1,1,2,4,Not Possible,Entire home/apt,0.706908515,120
4243,52.36592463,4.863227688,2.864542926,2,1,1,1,1,1,2,16,Not Possible,Entire home/apt,0.800496572,140
4248,52.35645007,4.88779914,2.647255333,2,1,1,1,1,1,2,4,Not Possible,Entire home/apt,0.77475858,110
4250,52.3618563,4.909688337,2.04797005,2,1,1,1,1,1,2,1,Not Possible,Entire home/apt,0.739410767,110
4259,52.35079009,4.888833419,3.236726067,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,0.707352053,105
4262,52.3545364,4.920525795,3.090915033,2,1,1,1,1,1,2,9,Not Possible,Entire home/apt,0.788162865,90
4264,52.34966496,4.846307219,4.874302359,2,1,1,1,1,1,2,11,Not Possible,Entire home/apt,0.814119103,115
4267,52.36152197,4.931215629,2.916324362,2,1,1,1,1,1,2,69,Not Possible,Private room,0.725640847,65
4274,52.38892546,4.881116471,1.647347758,2,1,1,38,1,43,2,3,Possible,Entire home/apt,0.77864668,179
4277,52.38087943,4.886793999,0.877548709,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,0.763098644,195
4287,52.39128244,4.876276142,2.066987379,2,1,1,29,1,32,2,0,Possible,Entire home/apt,0.767428857,79
4307,52.37917441,4.877335885,1.498810579,2,1,1,1,1,1,2,4,Not Possible,Entire home/apt,0.760991357,149
4314,52.38189139,4.885076222,1.01897475,2,1,1,1,1,1,2,6,Not Possible,Entire home/apt,0.722554226,145
4325,52.35231149,4.852460795,4.367928394,2,1,1,1,1,1,2,5,Not Possible,Entire home/apt,0.765993619,99
4326,52.3726351,4.854373634,3.142234875,2,1,1,2,1,2,2,82,Not Possible,Private room,0.874841171,55
4343,52.36400132,4.939393926,3.193703688,2,1,1,1,1,1,2,5,Not Possible,Entire home/apt,0.786282401,120
4344,52.37287519,4.876573755,1.701967781,2,1,1,8,1,45,2,8,Not Possible,Entire home/apt,0.810368576,120
4349,52.36175785,4.854363077,3.619670491,2,1,1,1,1,1,2,7,Not Possible,Private room,0.718161028,59
4350,52.36349722,4.943795024,3.478565769,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,0.788600693,99
4353,52.34150086,4.843908623,5.633605099,2,1,1,13,1,13,2,3,Not Possible,Private room,0.774364478,85
4369,52.36584608,4.852981485,3.48274594,2,1,1,29,1,32,2,3,Possible,Entire home/apt,0.73534883,79
4379,52.36441176,4.889817627,1.766908578,2,1,1,1,1,1,2,5,Not Possible,Entire home/apt,0.705850494,180
4384,52.36182938,4.944810385,3.633311066,2,1,1,19,1,21,2,2,Possible,Entire home/apt,0.750791404,79
4388,52.36426745,4.93519338,2.938804177,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,0.773101951,95
4407,52.36111769,4.93303338,3.038182825,2,1,1,2,1,2,2,0,Not Possible,Private room,0.725263956,85
4425,52.37107145,4.861838931,2.70510627,2,1,1,1,1,1,2,319,Not Possible,Entire home/apt,0.807676464,69
4431,52.35495435,4.908938522,2.769267193,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,0.798121595,159
4432,52.36829225,4.880582759,1.761080479,2,1,1,1,1,1,2,8,Not Possible,Entire home/apt,0.753718918,200
4433,52.37898015,4.860634847,2.631823282,2,1,1,2,1,2,2,0,Possible,Entire home/apt,0.768943928,150
4434,52.35256569,4.915543976,3.154082153,2,1,1,1,1,1,2,1,Not Possible,Entire home/apt,0.702391553,200
4445,52.34576598,4.90791009,3.758442178,2,1,1,1,1,1,2,4,Not Possible,Entire home/apt,0.736442325,130
4458,52.37075784,4.881421731,1.539648372,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,0.735166959,380
4462,52.35407674,4.902675324,2.799272495,2,1,1,1,1,1,2,13,Possible,Entire home/apt,0.749418964,97
4465,52.36960304,4.868859042,2.331619183,2,1,1,1,1,1,2,91,Not Possible,Entire home/apt,0.805526968,110
4475,52.35234022,4.99911391,7.392783159,2,1,1,1,1,1,2,0,Not Possible,Private room,0.805699111,100
4495,52.3831822,4.87321291,1.832933881,2,1,1,91,1,103,2,0,Possible,Entire home/apt,0.766051458,400
4507,52.35448614,4.887183499,2.868142185,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,0.763236332,120
4512,52.35144088,4.848294716,4.642002562,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,0.797318184,100
4521,52.35189421,4.895253147,3.046356067,2,1,1,1,1,1,2,6,Not Possible,Entire home/apt,0.750437127,120
4526,52.35185794,4.915219767,3.220586874,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,0.781617662,100
4529,52.38074599,4.880440851,1.299730977,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,0.766291152,160
4534,52.37732697,4.873336413,1.782201333,2,1,1,1,1,1,2,17,Not Possible,Entire home/apt,0.764637024,195
4539,52.36066692,4.850867898,3.884984605,2,1,1,1,1,1,2,5,Not Possible,Entire home/apt,0.780729975,120
4545,52.38449822,4.850305726,3.384012081,2,1,1,2,1,2,2,2,Possible,Entire home/apt,0.795039813,75
4549,52.38937536,4.886011883,1.452497508,2,1,1,1,1,1,2,3,Not Possible,Entire home/apt,0.855446783,95
4558,52.34097401,4.908739923,4.293377575,2,1,1,1,1,1,2,10,Not Possible,Entire home/apt,0.725546839,95
4559,52.36582919,4.875321539,2.20897673,2,1,1,3,1,3,2,19,Not Possible,Private room,0.724199325,129
4564,52.3746909,4.891793216,0.719938976,2,1,1,2,1,2,2,39,Possible,Private room,0.782820664,125
4580,52.35843744,4.990742911,6.610787481,2,1,1,1,1,1,2,14,Not Possible,Private room,0.747806144,60
4584,52.37554718,4.848405772,3.484987413,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,0.72789344,115
4585,52.34333868,4.909874031,4.046413324,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,0.819044636,60
4591,52.35190622,4.892721202,3.065798435,2,1,1,1,1,1,2,1,Not Possible,Entire home/apt,0.727652013,90
4594,52.36125342,4.875844906,2.556031901,2,1,1,1,1,1,2,9,Not Possible,Entire home/apt,0.753923481,100
4596,52.35542263,4.901255908,2.643941993,2,1,1,1,1,1,2,0,Possible,Entire home/apt,0.827406385,120
